name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2016-01-01,91.1,57.5,76.0,88.5,57.5,74.9,43.6,34.0,0.0,0,0.0,,0,0,17.7,10.3,27.0,1013.3,11.3,4.4,260.3,22.6,9,,2016-01-01T06:52:56,2016-01-01T18:32:55,0.72,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-02,90.8,65.0,77.5,88.5,65.0,76.4,44.3,31.5,0.0,0,0.0,,0,0,17.0,16.1,30.4,1013.1,21.0,6.2,257.4,22.3,9,,2016-01-02T06:53:21,2016-01-02T18:33:27,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-03,89.3,65.0,76.5,87.8,65.0,75.6,45.7,34.5,0.0,0,0.0,,0,0,20.8,20.8,23.7,1012.5,36.8,6.2,254.0,22.0,9,,2016-01-03T06:53:46,2016-01-03T18:33:58,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-04,90.2,61.8,76.6,87.8,61.8,75.7,47.8,37.8,0.0,0,0.0,,0,0,17.7,11.4,25.0,1011.9,38.4,4.7,252.8,21.9,9,,2016-01-04T06:54:10,2016-01-04T18:34:30,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-05,94.4,66.5,79.9,91.6,66.5,78.7,50.3,37.7,0.0,0,0.0,,0,0,15.0,9.2,45.6,1011.3,48.5,5.7,256.0,22.0,9,,2016-01-05T06:54:33,2016-01-05T18:35:01,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-06,94.4,62.7,79.2,93.4,62.7,78.1,53.6,46.4,0.0,0,0.0,,0,0,13.2,9.2,329.0,1011.7,29.9,5.0,255.0,22.0,9,,2016-01-06T06:54:55,2016-01-06T18:35:32,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-07,94.7,64.7,81.0,92.0,64.7,79.5,44.7,29.4,0.0,0,0.0,,0,0,22.4,13.9,27.5,1011.8,20.7,6.2,256.9,22.1,9,,2016-01-07T06:55:17,2016-01-07T18:36:03,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-08,96.7,67.4,82.7,95.3,67.4,81.4,45.1,27.9,0.0,0,0.0,,0,0,13.0,6.9,345.1,1012.1,30.5,6.9,257.2,22.3,9,,2016-01-08T06:55:38,2016-01-08T18:36:34,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-09,95.6,67.7,80.5,98.6,67.7,80.8,61.9,57.9,0.0,0,0.0,,0,0,17.7,7.6,211.9,1012.9,51.9,5.4,242.4,21.1,9,,2016-01-09T06:55:58,2016-01-09T18:37:04,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-10,95.1,70.4,81.5,94.2,70.4,81.4,64.0,61.5,0.0,0,0.0,,0,0,12.8,8.1,267.4,1011.9,18.7,6.2,249.5,21.6,9,,2016-01-10T06:56:17,2016-01-10T18:37:34,0.0,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-11,96.0,68.8,81.8,95.8,68.8,81.1,57.1,49.8,0.0,0,0.0,,0,0,16.6,10.3,67.2,1010.8,20.4,5.9,259.8,22.5,9,,2016-01-11T06:56:36,2016-01-11T18:38:04,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-12,94.6,63.9,79.7,94.4,63.9,79.0,55.1,47.1,0.0,0,0.0,,0,0,13.2,8.1,217.6,1010.3,9.0,5.6,257.7,22.2,9,,2016-01-12T06:56:54,2016-01-12T18:38:34,0.09,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-13,93.6,63.2,79.4,95.5,63.2,78.6,49.8,39.3,0.0,0,0.0,,0,0,13.0,6.9,54.0,1010.3,15.0,5.5,264.6,22.9,9,,2016-01-13T06:57:11,2016-01-13T18:39:03,0.12,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2016-01-14,93.5,68.4,79.8,97.4,68.4,79.5,58.7,53.8,0.0,0,0.0,,0,0,12.5,8.1,325.3,1010.4,30.1,6.4,260.1,22.4,9,,2016-01-14T06:57:27,2016-01-14T18:39:32,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65215099999,remote"
