name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Osun, Ekiti, Nigeria",2024-01-01,96.0,66.3,79.6,92.8,66.3,78.6,54.1,45.4,0.0,0,0.0,,0,0,13.2,4.9,72.0,1012.0,28.6,15.0,256.3,22.1,9,10.0,2024-01-01T06:53:00,2024-01-01T18:32:59,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-02,95.4,69.2,81.0,93.9,69.2,80.3,59.7,55.9,0.0,0,0.0,,0,0,11.6,6.9,28.1,1013.0,21.6,15.0,239.1,20.7,9,10.0,2024-01-02T06:53:25,2024-01-02T18:33:31,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-03,94.9,69.2,81.5,94.3,69.2,81.7,63.2,59.4,0.0,0,0.0,,0,0,14.8,6.3,205.1,1012.8,57.9,15.0,232.8,20.1,8,10.0,2024-01-03T06:53:50,2024-01-03T18:34:02,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-04,95.1,73.7,82.6,93.5,73.7,82.2,63.8,60.5,0.0,0,0.0,,0,0,14.8,6.7,354.1,1012.9,46.4,15.0,250.6,21.7,9,10.0,2024-01-04T06:54:13,2024-01-04T18:34:34,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-05,94.2,72.4,81.7,93.7,72.4,81.9,65.3,62.8,0.0,0,0.0,,0,0,14.5,7.6,200.1,1012.4,52.2,15.0,232.1,20.0,9,10.0,2024-01-05T06:54:36,2024-01-05T18:35:05,0.8,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-06,95.3,71.9,81.9,96.8,71.9,83.0,67.9,67.8,0.0,0,0.0,,0,0,13.6,5.8,183.2,1012.4,33.0,15.0,227.4,19.8,8,10.0,2024-01-06T06:54:59,2024-01-06T18:35:36,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-07,95.8,72.2,82.2,96.9,72.2,83.4,67.6,66.4,0.0,0,0.0,,0,0,12.8,5.8,193.6,1011.7,28.7,15.0,231.8,20.0,9,10.0,2024-01-07T06:55:21,2024-01-07T18:36:07,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-08,96.3,71.7,82.1,94.5,71.7,81.5,61.7,57.1,0.0,0,0.0,,0,0,12.3,6.9,270.6,1011.1,30.5,15.0,248.1,21.5,9,10.0,2024-01-08T06:55:41,2024-01-08T18:36:38,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-09,96.2,73.8,83.0,95.7,73.8,83.5,66.8,64.1,0.0,0,0.0,,0,0,13.9,6.9,213.3,1011.1,32.8,14.2,244.7,21.1,9,30.0,2024-01-09T06:56:02,2024-01-09T18:37:08,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-10,95.1,73.8,82.9,93.4,73.8,82.4,63.5,60.6,0.0,0,0.0,,0,0,14.5,8.3,331.3,1012.5,37.7,15.0,239.6,20.8,9,10.0,2024-01-10T06:56:21,2024-01-10T18:37:38,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-11,95.8,69.9,81.4,92.4,69.9,80.0,52.3,44.3,0.0,0,0.0,,0,0,16.1,7.8,39.6,1011.6,21.9,15.0,257.4,22.3,9,10.0,2024-01-11T06:56:40,2024-01-11T18:38:08,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-12,93.5,66.8,80.3,89.9,66.8,79.1,48.9,36.7,0.0,0,0.0,,0,0,15.0,8.1,1.9,1011.2,9.7,15.0,255.1,22.1,9,10.0,2024-01-12T06:56:57,2024-01-12T18:38:38,0.03,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-13,94.9,64.8,78.9,90.8,64.8,77.4,47.1,38.0,0.0,0,0.0,,0,0,11.9,7.2,19.3,1012.0,1.7,15.0,268.6,23.3,9,10.0,2024-01-13T06:57:14,2024-01-13T18:39:07,0.07,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-14,93.8,65.7,78.8,90.8,65.7,77.6,47.5,35.6,0.0,0,0.0,,0,0,11.0,6.9,34.2,1012.5,2.7,15.0,263.0,22.7,9,10.0,2024-01-14T06:57:30,2024-01-14T18:39:36,0.1,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-15,93.5,62.9,78.9,89.4,62.9,77.4,42.1,29.4,0.0,0,0.0,,0,0,15.4,8.1,36.5,1013.7,15.7,15.0,268.4,23.2,9,10.0,2024-01-15T06:57:45,2024-01-15T18:40:04,0.14,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-16,94.9,61.4,78.6,90.5,61.4,76.9,37.8,24.9,0.0,0,0.0,,0,0,16.8,7.8,29.6,1014.1,0.0,15.0,270.9,23.5,9,10.0,2024-01-16T06:57:59,2024-01-16T18:40:32,0.17,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-17,94.0,60.0,78.0,89.8,60.0,76.6,41.7,30.3,0.0,0,0.0,,0,0,14.5,7.2,29.5,1014.2,3.8,14.5,273.0,23.6,9,10.0,2024-01-17T06:58:13,2024-01-17T18:41:00,0.21,Clear,Clear conditions throughout the day.,clear-day,"65215099999,remote"
"Osun, Ekiti, Nigeria",2024-01-18,93.8,65.2,78.4,89.6,65.2,77.0,41.9,29.2,0.0,0,0.0,,0,0,13.6,6.9,59.1,1013.1,0.0,15.0,272.9,23.5,9,10.0,2024-01-18T06:58:25,2024-01-18T18:41:27,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-19,93.3,65.0,78.1,89.8,65.0,76.9,46.5,35.2,0.0,0,0.0,,0,0,13.4,6.9,54.0,1012.8,0.0,15.0,269.8,23.3,9,10.0,2024-01-19T06:58:37,2024-01-19T18:41:54,0.28,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-20,94.7,64.7,79.1,90.6,64.7,77.5,45.2,35.1,0.0,0,0.0,,0,0,16.8,7.6,25.2,1013.3,0.0,15.0,270.0,23.3,9,10.0,2024-01-20T06:58:47,2024-01-20T18:42:20,0.31,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-21,94.9,68.6,81.5,91.1,68.6,79.9,42.1,26.1,0.0,0,0.0,,0,0,15.7,8.1,10.8,1012.7,0.0,15.0,272.0,23.4,9,10.0,2024-01-21T06:58:57,2024-01-21T18:42:46,0.35,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-22,99.1,62.5,80.1,94.1,62.5,78.4,41.6,29.3,0.0,0,0.0,,0,0,13.0,6.9,320.8,1013.0,0.2,15.0,277.2,24.0,10,10.0,2024-01-22T06:59:05,2024-01-22T18:43:11,0.38,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-23,95.6,69.0,80.9,95.3,69.0,80.9,64.0,62.4,0.0,0,0.0,,0,0,17.7,8.1,210.2,1013.7,51.9,14.2,238.3,20.6,8,10.0,2024-01-23T06:59:13,2024-01-23T18:43:35,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-24,96.0,71.7,82.9,96.7,71.7,83.0,64.6,59.9,0.0,0,0.0,,0,0,15.9,7.6,13.7,1013.8,46.8,15.0,214.2,18.6,8,10.0,2024-01-24T06:59:20,2024-01-24T18:43:59,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-01-25,92.4,72.6,82.0,88.2,72.6,80.3,38.9,22.7,0.0,0,0.0,,0,0,21.5,7.8,37.1,1014.0,19.6,15.0,258.5,22.4,9,10.0,2024-01-25T06:59:25,2024-01-25T18:44:23,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-26,93.8,69.2,81.1,89.8,69.2,79.3,34.8,19.3,0.0,0,0.0,,0,0,18.3,8.1,29.8,1013.6,1.6,15.0,268.1,23.2,9,10.0,2024-01-26T06:59:30,2024-01-26T18:44:45,0.52,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-27,93.8,71.9,82.1,89.7,71.9,80.4,39.2,22.3,0.0,0,0.0,,0,0,17.7,7.6,33.1,1013.0,1.3,15.0,267.8,23.1,9,10.0,2024-01-27T06:59:34,2024-01-27T18:45:07,0.56,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-28,94.7,70.6,81.7,90.5,70.6,80.0,38.5,22.0,0.0,0,0.0,,0,0,16.6,7.2,26.3,1012.6,0.0,15.0,268.8,23.2,9,10.0,2024-01-28T06:59:36,2024-01-28T18:45:29,0.59,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-29,97.1,70.6,82.6,92.5,70.6,80.9,38.0,20.9,0.0,0,0.0,,0,0,14.1,6.3,39.5,1012.3,2.0,15.0,268.6,23.2,9,10.0,2024-01-29T06:59:38,2024-01-29T18:45:50,0.62,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-30,98.3,68.8,82.4,94.5,68.8,80.8,47.8,33.4,0.0,0,0.0,,0,0,13.2,4.9,56.6,1011.8,3.9,15.0,267.7,23.1,9,10.0,2024-01-30T06:59:39,2024-01-30T18:46:10,0.65,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-01-31,95.8,69.2,81.9,93.2,69.2,80.8,55.2,44.8,0.0,0,0.0,,0,0,12.3,4.5,188.1,1012.5,14.7,15.0,266.7,22.9,9,10.0,2024-01-31T06:59:39,2024-01-31T18:46:30,0.69,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-01,96.5,69.9,82.1,93.3,69.9,80.9,56.5,49.3,0.0,0,0.0,,0,0,15.0,8.1,1.9,1014.0,11.5,15.0,264.6,22.9,9,10.0,2024-02-01T06:59:37,2024-02-01T18:46:48,0.72,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-02,93.8,70.1,82.0,90.1,70.1,80.2,42.2,26.4,0.0,0,0.0,,0,0,17.0,8.1,21.9,1012.8,9.4,15.0,271.2,23.4,9,10.0,2024-02-02T06:59:35,2024-02-02T18:47:07,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-03,95.4,70.6,81.8,91.1,70.6,80.0,37.4,21.2,0.0,0,0.0,,0,0,18.1,7.8,32.6,1011.4,5.2,15.0,274.5,23.7,9,10.0,2024-02-03T06:59:32,2024-02-03T18:47:24,0.75,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-04,95.8,68.6,82.1,91.2,68.6,80.1,33.5,18.3,0.0,0,0.0,,0,0,19.5,8.1,36.6,1012.2,52.1,15.0,276.0,23.8,9,10.0,2024-02-04T06:59:28,2024-02-04T18:47:41,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-05,95.8,70.4,82.2,91.2,70.4,80.3,28.7,14.8,0.0,0,0.0,,0,0,18.8,8.1,34.2,1014.3,51.7,15.0,275.3,23.7,9,10.0,2024-02-05T06:59:23,2024-02-05T18:47:57,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-06,94.4,70.2,81.4,90.0,70.2,79.6,31.0,16.3,0.0,0,0.0,,0,0,19.0,7.8,41.0,1014.3,54.9,15.0,272.0,23.3,9,10.0,2024-02-06T06:59:17,2024-02-06T18:48:13,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-07,96.5,72.1,83.3,92.0,72.1,81.4,33.0,16.6,0.0,0,0.0,,0,0,17.9,7.8,34.4,1013.5,33.9,15.0,279.0,24.0,10,10.0,2024-02-07T06:59:10,2024-02-07T18:48:28,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-08,98.7,72.4,83.7,94.1,72.4,81.8,33.7,17.2,0.0,0,0.0,,0,0,14.3,6.9,39.1,1012.3,0.0,15.0,280.2,24.0,10,10.0,2024-02-08T06:59:02,2024-02-08T18:48:42,0.95,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-09,96.2,68.1,81.9,94.7,68.1,80.9,52.9,40.8,0.0,0,0.0,,0,0,13.6,4.0,236.9,1012.3,13.9,15.0,279.7,24.0,10,10.0,2024-02-09T06:58:53,2024-02-09T18:48:55,0.0,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-10,100.5,69.7,84.5,98.3,69.7,83.5,56.5,44.0,0.0,0,0.0,,0,0,11.6,5.6,197.4,1011.4,29.2,15.0,279.4,24.0,10,10.0,2024-02-10T06:58:43,2024-02-10T18:49:08,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-11,98.5,73.7,85.2,99.1,73.7,85.5,65.6,59.3,0.0,0,0.0,,0,0,13.9,6.3,206.2,1011.2,44.0,15.0,267.3,22.9,9,10.0,2024-02-11T06:58:32,2024-02-11T18:49:20,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-12,101.6,74.6,86.8,100.2,74.6,86.3,62.2,52.6,0.0,0,0.0,,0,0,18.8,8.3,349.1,1010.7,3.7,15.0,273.4,23.3,9,10.0,2024-02-12T06:58:21,2024-02-12T18:49:31,0.09,Clear,Clear conditions throughout the day.,clear-day,remote
"Osun, Ekiti, Nigeria",2024-02-13,103.6,74.0,87.2,101.1,74.0,87.8,65.5,58.0,0.0,0,0.0,,0,0,16.6,7.4,219.4,1011.0,32.7,15.0,258.5,22.5,9,30.0,2024-02-13T06:58:08,2024-02-13T18:49:42,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-14,101.9,76.6,87.4,100.6,76.6,87.0,63.2,55.3,0.0,0,0.0,,0,0,16.3,7.6,263.6,1011.5,36.1,13.8,261.7,22.5,9,60.0,2024-02-14T06:57:55,2024-02-14T18:49:52,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-15,99.9,76.0,86.1,96.0,76.0,84.5,56.2,48.4,0.0,0,0.0,,0,0,18.1,8.3,336.3,1011.5,44.5,15.0,277.6,24.0,10,10.0,2024-02-15T06:57:41,2024-02-15T18:50:02,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-16,100.1,74.6,85.2,96.4,74.6,83.6,57.5,49.5,0.0,0,0.0,,0,0,11.9,5.6,295.0,1011.5,97.8,15.0,277.8,24.0,10,10.0,2024-02-16T06:57:26,2024-02-16T18:50:11,0.25,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Osun, Ekiti, Nigeria",2024-02-17,100.5,72.4,84.6,98.2,72.4,84.3,62.1,55.1,0.0,0,0.0,,0,0,13.2,6.0,232.5,1011.5,48.5,15.0,273.1,23.6,10,10.0,2024-02-17T06:57:10,2024-02-17T18:50:19,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-18,98.5,74.0,84.8,99.9,74.0,85.9,68.4,64.1,0.008,100,8.33,rain,0,0,19.2,8.3,193.4,1011.3,68.8,15.0,252.7,21.7,9,10.0,2024-02-18T06:56:54,2024-02-18T18:50:26,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
"Osun, Ekiti, Nigeria",2024-02-19,97.2,75.6,84.6,100.7,75.6,87.4,70.4,65.9,0.012,100,4.17,rain,0,0,15.7,6.3,229.5,1010.5,39.9,15.0,222.6,19.0,8,10.0,2024-02-19T06:56:36,2024-02-19T18:50:33,0.33,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,remote
"Osun, Ekiti, Nigeria",2024-02-20,96.7,74.6,82.3,98.1,74.6,83.7,70.8,72.6,0.15,100,4.17,rain,0,0,18.8,8.3,219.7,1009.0,55.9,14.9,198.8,17.2,8,60.0,2024-02-20T06:56:18,2024-02-20T18:50:40,0.36,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,remote
"Osun, Ekiti, Nigeria",2024-02-21,96.7,74.2,83.7,98.0,74.2,85.3,69.5,67.3,0.0,0,0.0,rain,0,0,19.2,8.3,218.2,1008.2,55.9,14.7,246.6,21.3,9,30.0,2024-02-21T06:55:59,2024-02-21T18:50:45,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-22,91.8,72.8,80.4,94.4,72.8,81.9,70.6,75.2,0.158,100,25.0,rain,0,0,22.4,8.1,213.3,1008.7,92.6,15.0,215.9,18.7,9,30.0,2024-02-22T06:55:40,2024-02-22T18:50:51,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
"Osun, Ekiti, Nigeria",2024-02-23,91.7,75.1,81.8,93.8,75.1,82.9,69.2,68.7,0.02,100,16.67,rain,0,0,15.7,6.5,136.8,1010.4,96.8,15.0,155.8,13.4,6,10.0,2024-02-23T06:55:19,2024-02-23T18:50:55,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
"Osun, Ekiti, Nigeria",2024-02-24,87.9,72.4,79.6,86.9,72.4,79.2,61.6,58.0,0.0,0,0.0,,0,0,15.2,6.0,110.9,1012.0,98.8,15.0,64.9,5.5,3,10.0,2024-02-24T06:54:58,2024-02-24T18:50:59,0.5,Overcast,Cloudy skies throughout the day.,cloudy,remote
"Osun, Ekiti, Nigeria",2024-02-25,91.7,74.7,81.8,89.4,74.7,81.6,60.2,49.8,0.0,0,0.0,,0,0,9.6,4.9,137.7,1012.2,88.5,15.0,134.0,11.7,6,10.0,2024-02-25T06:54:37,2024-02-25T18:51:03,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-26,98.1,75.1,84.0,99.3,75.1,85.5,69.0,65.7,0.0,0,0.0,,0,0,17.7,7.8,201.3,1010.8,60.6,15.0,252.4,21.8,9,10.0,2024-02-26T06:54:14,2024-02-26T18:51:06,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-27,97.8,74.7,84.5,100.2,74.7,86.7,70.3,67.9,0.0,0,0.0,,0,0,17.2,8.3,210.5,1009.7,45.0,15.0,261.5,22.5,10,10.0,2024-02-27T06:53:52,2024-02-27T18:51:08,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Osun, Ekiti, Nigeria",2024-02-28,99.4,74.4,84.7,103.8,74.4,87.8,71.7,70.4,0.008,100,8.33,rain,0,0,20.4,8.9,222.0,1009.3,37.0,14.9,262.8,22.7,9,30.0,2024-02-28T06:53:28,2024-02-28T18:51:10,0.63,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,remote
